Experiment,Fold,Accuracy,F1-Score,Precision,Recall,IoU,Dice,Pixel Accuracy,Pointing Game,Saliency IoU,Deletion Score (AUC),Insertion Score (AUC)
baseline,0,0.992822966507177,0.9947460595446584,0.9909281228192603,0.9985935302391,0.8733053704102834,0.9181070589657986,0.993099985700665,0.2238805970149253,0.0476855951400288,0.5448283687746065,0.7794970064775397
baseline,1,0.9966507177033492,0.9975062344139652,0.9950248756218906,1.0,0.8835229756254138,0.9270111773953292,0.9943088329199588,0.1515151515151515,0.0407113334984204,0.6999407607724689,0.9563937680894564
baseline,2,0.9904716531681752,0.9928571428571428,0.9886201991465148,0.9971305595408896,0.8772216845642437,0.9196531808737552,0.9932471170569912,0.1904761904761904,0.0594658905990953,0.7600529880863236,0.9378363512304893
baseline,3,0.9942556247008136,0.9957081545064378,0.992867332382311,0.9985652797704448,0.8792047663168474,0.9220201219573164,0.9943008784091834,0.1612903225806451,0.0227832419804363,0.8929895389028973,0.9640523819373018
baseline,4,0.9914204003813156,0.993688639551192,0.9902166317260656,0.9971850809289232,0.858716758814725,0.9056844873861832,0.9915337562561036,0.1515151515151515,0.0196520352100685,0.7454348885106756,0.8016415247223146
Attention,0,0.990909090909091,0.9933122140091516,0.9943622269203664,0.9922644163150492,0.8817165539120183,0.9230643420508412,0.994463610829729,1.0,0.7438933710331348,0.7046916754322071,0.9968332745690844
Attention,1,0.9952153110047848,0.9964362081254454,0.9943100995732574,0.9985714285714286,0.8859865475784648,0.927757363427769,0.994737193439946,0.9393939393939394,0.720777947342757,0.8672551319595765,0.999699898470532
Attention,2,0.9866603144354454,0.9899856938483548,0.9871611982881596,0.9928263988522238,0.8704981668428942,0.9128361750732767,0.9930699241883828,0.984126984126984,0.7522193673584197,0.9044543397930704,0.9907158211110132
Attention,3,0.9937769267592148,0.995345506623702,0.993566833452466,0.9971305595408896,0.8828935334176728,0.9248185871225416,0.9945054704492744,0.9838709677419356,0.7649625972394021,0.868605374810408,0.9923900421468482
Attention,4,0.992373689227836,0.994389901823282,0.9909154437456325,0.9978888106966924,0.8750975357763695,0.9173193646199777,0.994790000445915,0.9848484848484848,0.753394501679091,0.7555911659975677,0.9862711596429689
CAM,0,0.9894736842105264,0.9922589725545392,0.9929577464788732,0.9915611814345991,0.8613403105374539,0.908626574458498,0.9927951052333368,0.835820895522388,0.6743664759864558,0.935239674990524,0.9981929288871252
CAM,1,0.9952153110047848,0.99644128113879,0.9929078014184396,1.0,0.8839394558559764,0.9264868461724484,0.994448407129808,0.8939393939393939,0.6806870915672996,0.8396275710872777,0.9945092834419372
CAM,2,0.9880895664602192,0.9910554561717352,0.9885795860099929,0.9935437589670014,0.871475872668353,0.9132285659963434,0.9934838811556498,0.9523809523809524,0.7214686227223229,0.7738184491444068,0.9657668473509452
CAM,3,0.993298228817616,0.994989262705798,0.9928571428571428,0.9971305595408896,0.8814220347187736,0.923397340557792,0.9944586311325884,0.9193548387096774,0.7170866400964798,0.841403705704086,0.992144734484534
CAM,4,0.9928503336510964,0.9947312961011592,0.9929873772791024,0.996481351161154,0.8787085224281658,0.9195214302250834,0.995029190272996,0.8939393939393939,0.7213817288480412,0.954837253171718,0.996444727976764
MAAL,0,0.9923444976076556,0.9943977591036416,0.99023709902371,0.9985935302391,0.8816207439610453,0.9237308962778612,0.9937660739277347,0.9850746268656716,0.8110868750668284,0.7267420875980196,0.962951273322036
MAAL,1,0.9933014354066986,0.9950213371266002,0.9907932011331444,0.9992857142857144,0.8824362529046608,0.9264343362866024,0.9942582683129744,0.9848484848484848,0.7995500952908488,0.781720564419304,0.9849411986937576
MAAL,2,0.9885659838018104,0.9914529914529916,0.9844413012729843,0.9985652797704448,0.8768128960421591,0.9187370186502284,0.9933949519287456,1.0,0.846683058473799,0.8270633657014789,0.9993278451382168
MAAL,3,0.9923408329344184,0.9942816297355254,0.9907407407407408,0.9978479196556672,0.8816585929104777,0.924012758515098,0.9944654350930994,0.9838709677419356,0.8112334695554548,0.8893515476296024,0.9995070742022606
MAAL,4,0.9914204003813156,0.9936930623686054,0.9895324494068388,0.9978888106966924,0.8679675369551687,0.9132797022660574,0.9920511290882572,1.0,0.7930429114988355,0.9681751274807152,0.999581281434406
MAAL_V2,0,0.977511961722488,0.983279971540377,0.9949604031677466,0.9718706047819972,0.8733064739993124,0.9181087125431407,0.993099921580517,0.0149253731343283,0.000340619404525,0.8663717407788804,0.5065459226216397
MAAL_V2,1,0.991866028708134,0.9939652112176074,0.9880028228652082,1.0,0.8835222874626969,0.9270103691202222,0.9943088654315833,0.0,0.0001211272092364,0.9529668059312936,0.9106464840923296
MAAL_V2,2,0.8275369223439734,0.8512736236647493,0.9961538461538462,0.7431850789096126,0.877222048513817,0.919653709187652,0.9932471387314074,0.0,0.042505268698179,0.8508139155254447,0.7652167623086523
MAAL_V2,3,0.9937769267592148,0.9953521630318198,0.99215965787598,0.9985652797704448,0.8792036925301407,0.9220194247635928,0.9943008955680964,0.1774193548387097,0.0114706344143118,0.953815920098174,0.7406992668406137
MAAL_V2,4,0.9914204003813156,0.9936797752808988,0.9915907498248072,0.995777621393385,0.8587157943032004,0.9056837730335466,0.991533754449902,0.6818181818181818,0.11019174917954,0.5918707544125166,0.7188821720636704
MAAL_V3,0,0.9799043062200956,0.9851380042462844,0.9914529914529916,0.978902953586498,0.8463051391370369,0.8945628260121201,0.9895165770342856,0.9850746268656716,0.7157946791666657,0.994123690280674,0.9982706365300648
MAAL_V3,1,0.9880382775119616,0.9910554561717352,0.992831541218638,0.9892857142857144,0.860505357836232,0.9091611829670992,0.9898719670194568,0.9696969696969696,0.744289778398745,0.706494008169657,0.9779416504908692
MAAL_V3,2,0.9818961410195332,0.9863505747126436,0.987769784172662,0.98493543758967,0.8565254834565249,0.903374262831428,0.9906183056759112,0.984126984126984,0.7981758410968478,0.902722780104904,0.9897552401359592
MAAL_V3,3,0.9856390617520344,0.98921639108555,0.9913544668587896,0.9870875179340028,0.8562763315258604,0.9042453756838134,0.9911563008120564,1.0,0.764423580659974,0.8441047184636362,0.9961394538562144
MAAL_V3,4,0.9833174451858914,0.9876630243214664,0.989406779661017,0.9859254046446164,0.8467286789056027,0.8954414644024589,0.987585546392383,0.9848484848484848,0.689455161718016,0.9140555433702972,0.9984681319029098
