Experiment,Fold,Best_Epoch,Val_Acc,Val_IoU,Val_F1,Val_Dice
baseline,0,23,0.988,0.857,0.991,0.906
baseline,1,30,0.985,0.86,0.989,0.906
baseline,2,26,0.984,0.845,0.988,0.895
baseline,3,30,0.988,0.867,0.991,0.913
baseline,4,21,0.978,0.846,0.984,0.896
MAAL,0,23,0.986,0.854,0.9911691981631933,
MAAL,1,30,0.986,0.862,0.989247311827957,
MAAL,2,26,0.982,0.834,0.9890265486725663,
MAAL,3,30,0.991,0.866,0.9949458483754513,
MAAL,4,21,0.982,0.84,0.987058412032179,
MAAL_V2,0,23,0.986,0.85,0.9911691981631933,
MAAL_V2,1,30,0.992,0.867,0.989247311827957,
MAAL_V2,2,26,0.984,0.837,0.9890265486725663,
MAAL_V2,3,30,0.978,0.823,0.9949458483754513,
MAAL_V2,4,21,0.988,0.864,0.987058412032179,
Attention,0,28,0.982,0.862,0.987,
Attention,1,29,0.989,0.87,0.992,
Attention,2,28,0.985,0.838,0.989,
Attention,3,28,0.98,0.85,0.986,
Attention,4,28,0.985,0.865,0.989,
CAM,0,16,0.986,0.849,0.989,0.899
CAM,1,28,0.992,0.869,0.994,0.917
CAM,2,30,0.981,0.838,0.986,0.89
CAM,3,29,0.985,0.848,0.989,0.895
CAM,4,28,0.986,0.869,0.989,0.913
Fusion_CAM,0,27,0.988,0.857,0.991,0.905
Fusion_CAM,1,27,0.983,0.86,0.987,0.907
Fusion_CAM,2,30,0.984,0.843,0.988,0.892
Fusion_CAM,3,30,0.991,0.868,0.993,0.913
Fusion_CAM,4,25,0.98,0.847,0.986,0.897
